Date,Time,Duration(s),WorkType
2024-03-26,2024-03-26 18:16:34,1500,w
2024-03-26,2024-03-26 18:16:34,1500,w
2024-03-26,2024-03-26 18:44:22,300,b
2024-03-26,2024-03-26 18:55:52,1500,w
2024-03-26,2024-03-26 19:22:58,300,b
2024-03-26,2024-03-26 19:32:29,1500,w
2024-03-26,2024-03-26 20:01:51,1300,b
2024-03-26,2024-03-26 20:26:59,1500,w
2024-03-26,2024-03-26 20:55:51,300,b
2024-03-27,2024-03-27 17:19:34,1500,w
2024-03-27,2024-03-27 17:48:05,600,b
2024-03-27,2024-03-27 18:00:29,1500,w
2024-03-27,2024-03-27 18:33:08,300,w
2024-03-27,2024-03-27 19:27:12,1500,w
2024-03-27,2024-03-27 19:52:54,300,b
2024-03-27,2024-03-27 20:03:52,1500,w
2024-03-27,2024-03-27 20:50:25,1000,w
2024-03-27,2024-03-27 21:07:42,500,b
2024-03-27,2024-03-27 21:18:31,1,b
2024-03-27,2024-03-27 21:44:32,1000,w
2024-03-28,2024-03-28 18:50:43,1500,w
2024-03-28,2024-03-28 19:25:17,300,w
2024-03-28,2024-03-28 19:49:57,1500,w
2024-03-28,2024-03-28 20:19:47,300,b
2024-03-28,2024-03-28 20:28:44,1500,w
2024-03-28,2024-03-28 21:02:02,1500,w
2024-03-28,2024-03-28 21:30:49,300,b
2024-03-28,2024-03-28 21:40:08,1500,w
2024-03-28,2024-03-28 21:40:08,1500,w
2024-03-29,2024-03-29 10:00:41,1500,w
2024-03-29,2024-03-29 10:44:27,1500,w
2024-03-29,2024-03-29 13:28:46,1500,w
2024-03-29,2024-03-29 13:55:32,1500,w
2024-03-29,2024-03-29 19:42:21,1500,w
2024-03-29,2024-03-29 20:15:33,300,b
2024-03-29,2024-03-29 20:21:38,1500,w
2024-03-29,2024-03-29 20:51:33,300,b
2024-03-29,2024-03-29 21:03:37,1500,w
2024-03-29,2024-03-29 21:29:53,600,b
2024-03-30,2024-03-30 08:43:59,1500,w
2024-03-30,2024-03-30 12:28:14,1500,w
2024-03-30,2024-03-30 13:33:16,1500,w
2024-03-30,2024-03-30 13:33:16,1000,w
2024-03-30,2024-03-30 14:05:36,1500,w
2024-03-30,2024-03-30 16:19:49,300,b
2024-03-30,2024-03-30 16:27:59,1500,w
2024-03-30,2024-03-30 20:48:06,1500,w
2024-03-30,2024-03-30 21:16:34,1500,w
2024-03-31,2024-03-31 09:19:42,1500,w
2024-03-31,2024-03-31 09:45:14,1000,w
2024-03-31,2024-03-31 16:08:20,1500,w
2024-03-31,2024-03-31 16:36:00,300,w
2024-03-31,2024-03-31 16:44:31,1500,w
2024-03-31,2024-03-31 16:44:31,400,w
2024-03-31,2024-03-31 18:53:23,1500,w
2024-03-31,2024-03-31 19:22:42,300,b
2024-03-31,2024-03-31 19:33:17,1500,w
2024-03-31,2024-03-31 20:02:08,300,b
2024-03-31,2024-03-31 21:25:37,1500,w
2024-03-31,2024-03-31 21:55:30,300,b
2024-03-31,2024-03-31 22:01:55,1500,w
2024-03-31,2024-03-31 22:31:19,300,b
2024-03-31,2024-03-31 22:40:10,1500,w
2024-04-01,2024-04-01 17:24:55,1500,w
2024-04-01,2024-04-01 18:59:30,1500,w
2024-04-01,2024-04-01 19:53:31,1500,w
2024-04-01,2024-04-01 20:48:41,1500,w
2024-04-01,2024-04-01 21:20:28,300,b
2024-04-01,2024-04-01 21:34:14,1500,w
2024-04-02,2024-04-02 17:42:31,1500,w
2024-04-02,2024-04-02 18:13:34,1500,w
2024-04-02,2024-04-02 19:13:18,1500,w
2024-04-02,2024-04-02 20:10:53,1500,w
2024-04-03,2024-04-03 17:48:42,1500,w
2024-04-03,2024-04-03 17:48:42,1500,w
2024-04-03,2024-04-03 18:30:42,1300,w
2024-04-03,2024-04-03 21:03:08,1500,w
